0, 13CPU burst
168, 1, IRET
169, 10, context restored
179, 1, switch to user mode
1, 86CPU burst
87, 1, switch to kernel mode
88, 10, context saved
98, 1, find vector 4 in memory position 0x0008
99, 1, load address 0X0292 into the PC
100, 40 ,call device driver
140, 40 ,call device driver
180, 40 ,call device driver
220, 40 ,call device driver
260, 40 ,call device driver
300, 40 ,call device driver
340, 10 ,call device driver
350, 1, IRET
351, 10, context restored
361, 1, switch to user mode
1, 57CPU burst
58, 1, switch to kernel mode
59, 10, context saved
69, 1, find vector 4 in memory position 0x0008
70, 1, load address 0X0292 into the PC
71, 40 ,ISR body for end_io4
111, 40 ,ISR body for end_io4
151, 40 ,ISR body for end_io4
191, 40 ,ISR body for end_io4
231, 40 ,ISR body for end_io4
271, 40 ,ISR body for end_io4
311, 10 ,ISR body for end_io4
321, 1, IRET
322, 10, context restored
332, 1, switch to user mode
1, 56CPU burst
57, 1, switch to kernel mode
58, 10, context saved
68, 1, find vector 7 in memory position 0x000E
69, 1, load address 0X00BD into the PC
70, 40 ,call device driver
110, 40 ,call device driver
150, 40 ,call device driver
190, 32 ,call device driver
222, 1, IRET
223, 10, context restored
233, 1, switch to user mode
1, 87CPU burst
88, 1, switch to kernel mode
89, 10, context saved
99, 1, find vector 7 in memory position 0x000E
100, 1, load address 0X00BD into the PC
101, 40 ,ISR body for end_io7
141, 40 ,ISR body for end_io7
181, 40 ,ISR body for end_io7
221, 32 ,ISR body for end_io7
253, 1, IRET
254, 10, context restored
264, 1, switch to user mode
1, 3CPU burst
4, 1, switch to kernel mode
5, 10, context saved
15, 1, find vector 6 in memory position 0x000C
16, 1, load address 0X0639 into the PC
17, 40 ,call device driver
57, 40 ,call device driver
97, 40 ,call device driver
137, 40 ,call device driver
177, 40 ,call device driver
217, 40 ,call device driver
257, 25 ,call device driver
282, 1, IRET
283, 10, context restored
293, 1, switch to user mode
1, 23CPU burst
24, 1, switch to kernel mode
25, 10, context saved
35, 1, find vector 6 in memory position 0x000C
36, 1, load address 0X0639 into the PC
37, 40 ,ISR body for end_io6
77, 40 ,ISR body for end_io6
117, 40 ,ISR body for end_io6
157, 40 ,ISR body for end_io6
197, 40 ,ISR body for end_io6
237, 40 ,ISR body for end_io6
277, 25 ,ISR body for end_io6
302, 1, IRET
303, 10, context restored
313, 1, switch to user mode
1, 85CPU burst
86, 1, switch to kernel mode
87, 10, context saved
97, 1, find vector 9 in memory position 0x0012
98, 1, load address 0X036C into the PC
99, 40 ,call device driver
139, 40 ,call device driver
179, 40 ,call device driver
219, 36 ,call device driver
255, 1, IRET
256, 10, context restored
266, 1, switch to user mode
1, 23CPU burst
24, 1, switch to kernel mode
25, 10, context saved
35, 1, find vector 9 in memory position 0x0012
36, 1, load address 0X036C into the PC
37, 40 ,ISR body for end_io9
77, 40 ,ISR body for end_io9
117, 40 ,ISR body for end_io9
157, 36 ,ISR body for end_io9
193, 1, IRET
194, 10, context restored
204, 1, switch to user mode
1, 37CPU burst
38, 1, switch to kernel mode
39, 10, context saved
49, 1, find vector 6 in memory position 0x000C
50, 1, load address 0X0639 into the PC
51, 40 ,call device driver
91, 40 ,call device driver
131, 40 ,call device driver
171, 40 ,call device driver
211, 40 ,call device driver
251, 40 ,call device driver
291, 25 ,call device driver
316, 1, IRET
317, 10, context restored
327, 1, switch to user mode
1, 54CPU burst
55, 1, switch to kernel mode
56, 10, context saved
66, 1, find vector 6 in memory position 0x000C
67, 1, load address 0X0639 into the PC
68, 40 ,ISR body for end_io6
108, 40 ,ISR body for end_io6
148, 40 ,ISR body for end_io6
188, 40 ,ISR body for end_io6
228, 40 ,ISR body for end_io6
268, 40 ,ISR body for end_io6
308, 25 ,ISR body for end_io6
333, 1, IRET
334, 10, context restored
344, 1, switch to user mode
1, 32CPU burst

=== Simulation Summary ===
User time: 817 ms
Overhead time: 576 ms
Total time: 1393 ms
