//trace_1 testcase (context time = 10, ISR activity time = 40)

    0, 75CPU burst
    83, 1, find vector 4 in memory position 0x0008
    84, 1, load address 0X0292 into the PC
    85, 40 ,call device driver
    125, 40 ,call device driver
    165, 40 ,call device driver
    205, 40 ,call device driver
    245, 40 ,call device driver
    285, 40 ,call device driver
    325, 10 ,call device driver
    335, 1, IRET
    336, 10, context restored
    346, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 10, context saved
    109, 1, find vector 4 in memory position 0x0008
    110, 1, load address 0X0292 into the PC
    111, 40 ,ISR body for end_io4
    151, 40 ,ISR body for end_io4
    191, 40 ,ISR body for end_io4
    231, 40 ,ISR body for end_io4
    271, 40 ,ISR body for end_io4
    311, 40 ,ISR body for end_io4
    351, 10 ,ISR body for end_io4
    361, 1, IRET
    362, 10, context restored
    372, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 7 in memory position 0x000E
    97, 1, load address 0X00BD into the PC
    98, 40 ,call device driver
    138, 40 ,call device driver
    178, 40 ,call device driver
    218, 32 ,call device driver
    250, 1, IRET
    251, 10, context restored
    261, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 10, context saved
    50, 1, find vector 7 in memory position 0x000E
    51, 1, load address 0X00BD into the PC
    52, 40 ,ISR body for end_io7
    92, 40 ,ISR body for end_io7
    132, 40 ,ISR body for end_io7
    172, 32 ,ISR body for end_io7
    204, 1, IRET
    205, 10, context restored
    215, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 20, ISR activity time = 40)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 20, context saved
    96, 1, find vector 5 in memory position 0x000A
    97, 1, load address 0X048B into the PC
    98, 40 ,call device driver
    138, 40 ,call device driver
    178, 40 ,call device driver
    218, 40 ,call device driver
    258, 40 ,call device driver
    298, 11 ,call device driver
    309, 1, IRET
    310, 20, context restored
    330, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 20, context saved
    106, 1, find vector 5 in memory position 0x000A
    107, 1, load address 0X048B into the PC
    108, 40 ,ISR body for end_io5
    148, 40 ,ISR body for end_io5
    188, 40 ,ISR body for end_io5
    228, 40 ,ISR body for end_io5
    268, 40 ,ISR body for end_io5
    308, 11 ,ISR body for end_io5
    319, 1, IRET
    320, 20, context restored
    340, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 20, context saved
    44, 1, find vector 10 in memory position 0x0014
    45, 1, load address 0X07B0 into the PC
    46, 40 ,call device driver
    86, 40 ,call device driver
    126, 40 ,call device driver
    166, 40 ,call device driver
    206, 40 ,call device driver
    246, 40 ,call device driver
    286, 40 ,call device driver
    326, 40 ,call device driver
    366, 40 ,call device driver
    406, 40 ,call device driver
    446, 40 ,call device driver
    486, 40 ,call device driver
    526, 40 ,call device driver
    566, 40 ,call device driver
    606, 4 ,call device driver
    610, 1, IRET
    611, 20, context restored
    631, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 20, context saved
    102, 1, find vector 10 in memory position 0x0014
    103, 1, load address 0X07B0 into the PC
    104, 40 ,ISR body for end_io10
    144, 40 ,ISR body for end_io10
    184, 40 ,ISR body for end_io10
    224, 40 ,ISR body for end_io10
    264, 40 ,ISR body for end_io10
    304, 40 ,ISR body for end_io10
    344, 40 ,ISR body for end_io10
    384, 40 ,ISR body for end_io10
    424, 40 ,ISR body for end_io10
    464, 40 ,ISR body for end_io10
    504, 40 ,ISR body for end_io10
    544, 40 ,ISR body for end_io10
    584, 40 ,ISR body for end_io10
    624, 40 ,ISR body for end_io10
    664, 4 ,ISR body for end_io10
    668, 1, IRET
    669, 20, context restored
    689, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 20, context saved
    101, 1, find vector 6 in memory position 0x000C
    102, 1, load address 0X0639 into the PC
    103, 40 ,call device driver
    143, 40 ,call device driver
    183, 40 ,call device driver
    223, 40 ,call device driver
    263, 40 ,call device driver
    303, 40 ,call device driver
    343, 25 ,call device driver
    368, 1, IRET
    369, 20, context restored
    389, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 20, context saved
    90, 1, find vector 6 in memory position 0x000C
    91, 1, load address 0X0639 into the PC
    92, 40 ,ISR body for end_io6
    132, 40 ,ISR body for end_io6
    172, 40 ,ISR body for end_io6
    212, 40 ,ISR body for end_io6
    252, 40 ,ISR body for end_io6
    292, 40 ,ISR body for end_io6
    332, 25 ,ISR body for end_io6
    357, 1, IRET
    358, 20, context restored
    378, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 20, context saved
    93, 1, find vector 4 in memory position 0x0008
    94, 1, load address 0X0292 into the PC
    95, 40 ,call device driver
    135, 40 ,call device driver
    175, 40 ,call device driver
    215, 40 ,call device driver
    255, 40 ,call device driver
    295, 40 ,call device driver
    335, 10 ,call device driver
    345, 1, IRET
    346, 20, context restored
    366, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 20, context saved
    119, 1, find vector 4 in memory position 0x0008
    120, 1, load address 0X0292 into the PC
    121, 40 ,ISR body for end_io4
    161, 40 ,ISR body for end_io4
    201, 40 ,ISR body for end_io4
    241, 40 ,ISR body for end_io4
    281, 40 ,ISR body for end_io4
    321, 40 ,ISR body for end_io4
    361, 10 ,ISR body for end_io4
    371, 1, IRET
    372, 20, context restored
    392, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 20, context saved
    106, 1, find vector 7 in memory position 0x000E
    107, 1, load address 0X00BD into the PC
    108, 40 ,call device driver
    148, 40 ,call device driver
    188, 40 ,call device driver
    228, 32 ,call device driver
    260, 1, IRET
    261, 20, context restored
    281, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 20, context saved
    60, 1, find vector 7 in memory position 0x000E
    61, 1, load address 0X00BD into the PC
    62, 40 ,ISR body for end_io7
    102, 40 ,ISR body for end_io7
    142, 40 ,ISR body for end_io7
    182, 32 ,ISR body for end_io7
    214, 1, IRET
    215, 20, context restored
    235, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 30, ISR activity time = 40)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 30, context saved
    106, 1, find vector 5 in memory position 0x000A
    107, 1, load address 0X048B into the PC
    108, 40 ,call device driver
    148, 40 ,call device driver
    188, 40 ,call device driver
    228, 40 ,call device driver
    268, 40 ,call device driver
    308, 11 ,call device driver
    319, 1, IRET
    320, 30, context restored
    350, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 30, context saved
    116, 1, find vector 5 in memory position 0x000A
    117, 1, load address 0X048B into the PC
    118, 40 ,ISR body for end_io5
    158, 40 ,ISR body for end_io5
    198, 40 ,ISR body for end_io5
    238, 40 ,ISR body for end_io5
    278, 40 ,ISR body for end_io5
    318, 11 ,ISR body for end_io5
    329, 1, IRET
    330, 30, context restored
    360, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 30, context saved
    54, 1, find vector 10 in memory position 0x0014
    55, 1, load address 0X07B0 into the PC
    56, 40 ,call device driver
    96, 40 ,call device driver
    136, 40 ,call device driver
    176, 40 ,call device driver
    216, 40 ,call device driver
    256, 40 ,call device driver
    296, 40 ,call device driver
    336, 40 ,call device driver
    376, 40 ,call device driver
    416, 40 ,call device driver
    456, 40 ,call device driver
    496, 40 ,call device driver
    536, 40 ,call device driver
    576, 40 ,call device driver
    616, 4 ,call device driver
    620, 1, IRET
    621, 30, context restored
    651, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 30, context saved
    112, 1, find vector 10 in memory position 0x0014
    113, 1, load address 0X07B0 into the PC
    114, 40 ,ISR body for end_io10
    154, 40 ,ISR body for end_io10
    194, 40 ,ISR body for end_io10
    234, 40 ,ISR body for end_io10
    274, 40 ,ISR body for end_io10
    314, 40 ,ISR body for end_io10
    354, 40 ,ISR body for end_io10
    394, 40 ,ISR body for end_io10
    434, 40 ,ISR body for end_io10
    474, 40 ,ISR body for end_io10
    514, 40 ,ISR body for end_io10
    554, 40 ,ISR body for end_io10
    594, 40 ,ISR body for end_io10
    634, 40 ,ISR body for end_io10
    674, 4 ,ISR body for end_io10
    678, 1, IRET
    679, 30, context restored
    709, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 30, context saved
    111, 1, find vector 6 in memory position 0x000C
    112, 1, load address 0X0639 into the PC
    113, 40 ,call device driver
    153, 40 ,call device driver
    193, 40 ,call device driver
    233, 40 ,call device driver
    273, 40 ,call device driver
    313, 40 ,call device driver
    353, 25 ,call device driver
    378, 1, IRET
    379, 30, context restored
    409, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 30, context saved
    100, 1, find vector 6 in memory position 0x000C
    101, 1, load address 0X0639 into the PC
    102, 40 ,ISR body for end_io6
    142, 40 ,ISR body for end_io6
    182, 40 ,ISR body for end_io6
    222, 40 ,ISR body for end_io6
    262, 40 ,ISR body for end_io6
    302, 40 ,ISR body for end_io6
    342, 25 ,ISR body for end_io6
    367, 1, IRET
    368, 30, context restored
    398, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 30, context saved
    103, 1, find vector 4 in memory position 0x0008
    104, 1, load address 0X0292 into the PC
    105, 40 ,call device driver
    145, 40 ,call device driver
    185, 40 ,call device driver
    225, 40 ,call device driver
    265, 40 ,call device driver
    305, 40 ,call device driver
    345, 10 ,call device driver
    355, 1, IRET
    356, 30, context restored
    386, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 30, context saved
    129, 1, find vector 4 in memory position 0x0008
    130, 1, load address 0X0292 into the PC
    131, 40 ,ISR body for end_io4
    171, 40 ,ISR body for end_io4
    211, 40 ,ISR body for end_io4
    251, 40 ,ISR body for end_io4
    291, 40 ,ISR body for end_io4
    331, 40 ,ISR body for end_io4
    371, 10 ,ISR body for end_io4
    381, 1, IRET
    382, 30, context restored
    412, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 30, context saved
    116, 1, find vector 7 in memory position 0x000E
    117, 1, load address 0X00BD into the PC
    118, 40 ,call device driver
    158, 40 ,call device driver
    198, 40 ,call device driver
    238, 32 ,call device driver
    270, 1, IRET
    271, 30, context restored
    301, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 30, context saved
    70, 1, find vector 7 in memory position 0x000E
    71, 1, load address 0X00BD into the PC
    72, 40 ,ISR body for end_io7
    112, 40 ,ISR body for end_io7
    152, 40 ,ISR body for end_io7
    192, 32 ,ISR body for end_io7
    224, 1, IRET
    225, 30, context restored
    255, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 10, ISR activity time = 80)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 10, context saved
    86, 1, find vector 5 in memory position 0x000A
    87, 1, load address 0X048B into the PC
    88, 80 ,call device driver
    168, 80 ,call device driver
    248, 51 ,call device driver
    299, 1, IRET
    300, 10, context restored
    310, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 5 in memory position 0x000A
    97, 1, load address 0X048B into the PC
    98, 80 ,ISR body for end_io5
    178, 80 ,ISR body for end_io5
    258, 51 ,ISR body for end_io5
    309, 1, IRET
    310, 10, context restored
    320, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 10, context saved
    34, 1, find vector 10 in memory position 0x0014
    35, 1, load address 0X07B0 into the PC
    36, 80 ,call device driver
    116, 80 ,call device driver
    196, 80 ,call device driver
    276, 80 ,call device driver
    356, 80 ,call device driver
    436, 80 ,call device driver
    516, 80 ,call device driver
    596, 4 ,call device driver
    600, 1, IRET
    601, 10, context restored
    611, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 10, context saved
    92, 1, find vector 10 in memory position 0x0014
    93, 1, load address 0X07B0 into the PC
    94, 80 ,ISR body for end_io10
    174, 80 ,ISR body for end_io10
    254, 80 ,ISR body for end_io10
    334, 80 ,ISR body for end_io10
    414, 80 ,ISR body for end_io10
    494, 80 ,ISR body for end_io10
    574, 80 ,ISR body for end_io10
    654, 4 ,ISR body for end_io10
    658, 1, IRET
    659, 10, context restored
    669, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 10, context saved
    91, 1, find vector 6 in memory position 0x000C
    92, 1, load address 0X0639 into the PC
    93, 80 ,call device driver
    173, 80 ,call device driver
    253, 80 ,call device driver
    333, 25 ,call device driver
    358, 1, IRET
    359, 10, context restored
    369, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 10, context saved
    80, 1, find vector 6 in memory position 0x000C
    81, 1, load address 0X0639 into the PC
    82, 80 ,ISR body for end_io6
    162, 80 ,ISR body for end_io6
    242, 80 ,ISR body for end_io6
    322, 25 ,ISR body for end_io6
    347, 1, IRET
    348, 10, context restored
    358, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 10, context saved
    83, 1, find vector 4 in memory position 0x0008
    84, 1, load address 0X0292 into the PC
    85, 80 ,call device driver
    165, 80 ,call device driver
    245, 80 ,call device driver
    325, 10 ,call device driver
    335, 1, IRET
    336, 10, context restored
    346, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 10, context saved
    109, 1, find vector 4 in memory position 0x0008
    110, 1, load address 0X0292 into the PC
    111, 80 ,ISR body for end_io4
    191, 80 ,ISR body for end_io4
    271, 80 ,ISR body for end_io4
    351, 10 ,ISR body for end_io4
    361, 1, IRET
    362, 10, context restored
    372, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 7 in memory position 0x000E
    97, 1, load address 0X00BD into the PC
    98, 80 ,call device driver
    178, 72 ,call device driver
    250, 1, IRET
    251, 10, context restored
    261, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 10, context saved
    50, 1, find vector 7 in memory position 0x000E
    51, 1, load address 0X00BD into the PC
    52, 80 ,ISR body for end_io7
    132, 72 ,ISR body for end_io7
    204, 1, IRET
    205, 10, context restored
    215, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 20, ISR activity time = 80)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 20, context saved
    96, 1, find vector 5 in memory position 0x000A
    97, 1, load address 0X048B into the PC
    98, 80 ,call device driver
    178, 80 ,call device driver
    258, 51 ,call device driver
    309, 1, IRET
    310, 20, context restored
    330, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 20, context saved
    106, 1, find vector 5 in memory position 0x000A
    107, 1, load address 0X048B into the PC
    108, 80 ,ISR body for end_io5
    188, 80 ,ISR body for end_io5
    268, 51 ,ISR body for end_io5
    319, 1, IRET
    320, 20, context restored
    340, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 20, context saved
    44, 1, find vector 10 in memory position 0x0014
    45, 1, load address 0X07B0 into the PC
    46, 80 ,call device driver
    126, 80 ,call device driver
    206, 80 ,call device driver
    286, 80 ,call device driver
    366, 80 ,call device driver
    446, 80 ,call device driver
    526, 80 ,call device driver
    606, 4 ,call device driver
    610, 1, IRET
    611, 20, context restored
    631, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 20, context saved
    102, 1, find vector 10 in memory position 0x0014
    103, 1, load address 0X07B0 into the PC
    104, 80 ,ISR body for end_io10
    184, 80 ,ISR body for end_io10
    264, 80 ,ISR body for end_io10
    344, 80 ,ISR body for end_io10
    424, 80 ,ISR body for end_io10
    504, 80 ,ISR body for end_io10
    584, 80 ,ISR body for end_io10
    664, 4 ,ISR body for end_io10
    668, 1, IRET
    669, 20, context restored
    689, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 20, context saved
    101, 1, find vector 6 in memory position 0x000C
    102, 1, load address 0X0639 into the PC
    103, 80 ,call device driver
    183, 80 ,call device driver
    263, 80 ,call device driver
    343, 25 ,call device driver
    368, 1, IRET
    369, 20, context restored
    389, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 20, context saved
    90, 1, find vector 6 in memory position 0x000C
    91, 1, load address 0X0639 into the PC
    92, 80 ,ISR body for end_io6
    172, 80 ,ISR body for end_io6
    252, 80 ,ISR body for end_io6
    332, 25 ,ISR body for end_io6
    357, 1, IRET
    358, 20, context restored
    378, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 20, context saved
    93, 1, find vector 4 in memory position 0x0008
    94, 1, load address 0X0292 into the PC
    95, 80 ,call device driver
    175, 80 ,call device driver
    255, 80 ,call device driver
    335, 10 ,call device driver
    345, 1, IRET
    346, 20, context restored
    366, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 20, context saved
    119, 1, find vector 4 in memory position 0x0008
    120, 1, load address 0X0292 into the PC
    121, 80 ,ISR body for end_io4
    201, 80 ,ISR body for end_io4
    281, 80 ,ISR body for end_io4
    361, 10 ,ISR body for end_io4
    371, 1, IRET
    372, 20, context restored
    392, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 20, context saved
    106, 1, find vector 7 in memory position 0x000E
    107, 1, load address 0X00BD into the PC
    108, 80 ,call device driver
    188, 72 ,call device driver
    260, 1, IRET
    261, 20, context restored
    281, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 20, context saved
    60, 1, find vector 7 in memory position 0x000E
    61, 1, load address 0X00BD into the PC
    62, 80 ,ISR body for end_io7
    142, 72 ,ISR body for end_io7
    214, 1, IRET
    215, 20, context restored
    235, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 30, ISR activity time = 80)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 30, context saved
    106, 1, find vector 5 in memory position 0x000A
    107, 1, load address 0X048B into the PC
    108, 80 ,call device driver
    188, 80 ,call device driver
    268, 51 ,call device driver
    319, 1, IRET
    320, 30, context restored
    350, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 30, context saved
    116, 1, find vector 5 in memory position 0x000A
    117, 1, load address 0X048B into the PC
    118, 80 ,ISR body for end_io5
    198, 80 ,ISR body for end_io5
    278, 51 ,ISR body for end_io5
    329, 1, IRET
    330, 30, context restored
    360, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 30, context saved
    54, 1, find vector 10 in memory position 0x0014
    55, 1, load address 0X07B0 into the PC
    56, 80 ,call device driver
    136, 80 ,call device driver
    216, 80 ,call device driver
    296, 80 ,call device driver
    376, 80 ,call device driver
    456, 80 ,call device driver
    536, 80 ,call device driver
    616, 4 ,call device driver
    620, 1, IRET
    621, 30, context restored
    651, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 30, context saved
    112, 1, find vector 10 in memory position 0x0014
    113, 1, load address 0X07B0 into the PC
    114, 80 ,ISR body for end_io10
    194, 80 ,ISR body for end_io10
    274, 80 ,ISR body for end_io10
    354, 80 ,ISR body for end_io10
    434, 80 ,ISR body for end_io10
    514, 80 ,ISR body for end_io10
    594, 80 ,ISR body for end_io10
    674, 4 ,ISR body for end_io10
    678, 1, IRET
    679, 30, context restored
    709, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 30, context saved
    111, 1, find vector 6 in memory position 0x000C
    112, 1, load address 0X0639 into the PC
    113, 80 ,call device driver
    193, 80 ,call device driver
    273, 80 ,call device driver
    353, 25 ,call device driver
    378, 1, IRET
    379, 30, context restored
    409, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 30, context saved
    100, 1, find vector 6 in memory position 0x000C
    101, 1, load address 0X0639 into the PC
    102, 80 ,ISR body for end_io6
    182, 80 ,ISR body for end_io6
    262, 80 ,ISR body for end_io6
    342, 25 ,ISR body for end_io6
    367, 1, IRET
    368, 30, context restored
    398, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 30, context saved
    103, 1, find vector 4 in memory position 0x0008
    104, 1, load address 0X0292 into the PC
    105, 80 ,call device driver
    185, 80 ,call device driver
    265, 80 ,call device driver
    345, 10 ,call device driver
    355, 1, IRET
    356, 30, context restored
    386, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 30, context saved
    129, 1, find vector 4 in memory position 0x0008
    130, 1, load address 0X0292 into the PC
    131, 80 ,ISR body for end_io4
    211, 80 ,ISR body for end_io4
    291, 80 ,ISR body for end_io4
    371, 10 ,ISR body for end_io4
    381, 1, IRET
    382, 30, context restored
    412, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 30, context saved
    116, 1, find vector 7 in memory position 0x000E
    117, 1, load address 0X00BD into the PC
    118, 80 ,call device driver
    198, 72 ,call device driver
    270, 1, IRET
    271, 30, context restored
    301, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 30, context saved
    70, 1, find vector 7 in memory position 0x000E
    71, 1, load address 0X00BD into the PC
    72, 80 ,ISR body for end_io7
    152, 72 ,ISR body for end_io7
    224, 1, IRET
    225, 30, context restored
    255, 1, switch to user mode
    1, 90CPU burst


//trace_1 testcase (context time = 10, ISR activity time = 150)

    0, 75CPU burst
    75, 1, switch to kernel mode
    76, 10, context saved
    86, 1, find vector 5 in memory position 0x000A
    87, 1, load address 0X048B into the PC
    88, 150 ,call device driver
    238, 61 ,call device driver
    299, 1, IRET
    300, 10, context restored
    310, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 5 in memory position 0x000A
    97, 1, load address 0X048B into the PC
    98, 150 ,ISR body for end_io5
    248, 61 ,ISR body for end_io5
    309, 1, IRET
    310, 10, context restored
    320, 1, switch to user mode
    1, 22CPU burst
    23, 1, switch to kernel mode
    24, 10, context saved
    34, 1, find vector 10 in memory position 0x0014
    35, 1, load address 0X07B0 into the PC
    36, 150 ,call device driver
    186, 150 ,call device driver
    336, 150 ,call device driver
    486, 114 ,call device driver
    600, 1, IRET
    601, 10, context restored
    611, 1, switch to user mode
    1, 80CPU burst
    81, 1, switch to kernel mode
    82, 10, context saved
    92, 1, find vector 10 in memory position 0x0014
    93, 1, load address 0X07B0 into the PC
    94, 150 ,ISR body for end_io10
    244, 150 ,ISR body for end_io10
    394, 150 ,ISR body for end_io10
    544, 114 ,ISR body for end_io10
    658, 1, IRET
    659, 10, context restored
    669, 1, switch to user mode
    1, 79CPU burst
    80, 1, switch to kernel mode
    81, 10, context saved
    91, 1, find vector 6 in memory position 0x000C
    92, 1, load address 0X0639 into the PC
    93, 150 ,call device driver
    243, 115 ,call device driver
    358, 1, IRET
    359, 10, context restored
    369, 1, switch to user mode
    1, 68CPU burst
    69, 1, switch to kernel mode
    70, 10, context saved
    80, 1, find vector 6 in memory position 0x000C
    81, 1, load address 0X0639 into the PC
    82, 150 ,ISR body for end_io6
    232, 115 ,ISR body for end_io6
    347, 1, IRET
    348, 10, context restored
    358, 1, switch to user mode
    1, 71CPU burst
    72, 1, switch to kernel mode
    73, 10, context saved
    83, 1, find vector 4 in memory position 0x0008
    84, 1, load address 0X0292 into the PC
    85, 150 ,call device driver
    235, 100 ,call device driver
    335, 1, IRET
    336, 10, context restored
    346, 1, switch to user mode
    1, 97CPU burst
    98, 1, switch to kernel mode
    99, 10, context saved
    109, 1, find vector 4 in memory position 0x0008
    110, 1, load address 0X0292 into the PC
    111, 150 ,ISR body for end_io4
    261, 100 ,ISR body for end_io4
    361, 1, IRET
    362, 10, context restored
    372, 1, switch to user mode
    1, 84CPU burst
    85, 1, switch to kernel mode
    86, 10, context saved
    96, 1, find vector 7 in memory position 0x000E
    97, 1, load address 0X00BD into the PC
    98, 150 ,call device driver
    248, 2 ,call device driver
    250, 1, IRET
    251, 10, context restored
    261, 1, switch to user mode
    1, 38CPU burst
    39, 1, switch to kernel mode
    40, 10, context saved
    50, 1, find vector 7 in memory position 0x000E
    51, 1, load address 0X00BD into the PC
    52, 150 ,ISR body for end_io7
    202, 2 ,ISR body for end_io7
    204, 1, IRET
    205, 10, context restored
    215, 1, switch to user mode
    1, 90CPU burst


